epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,9,,0.6428571343421936,,1.1508170366287231,,
0,9,,,,,0.375,1.308175802230835
0,9,0.3291139304637909,,1.36256742477417,,,
1,19,,0.5,,1.3139011859893799,,
1,19,,,,,0.574999988079071,1.191994547843933
1,19,0.5253164768218994,,1.2620213031768799,,,
2,29,,0.9285714030265808,,0.6048930287361145,,
2,29,,,,,0.7749999761581421,0.7137451767921448
2,29,0.6962025165557861,,0.9884958267211914,,,
3,39,,0.9285714030265808,,0.35107117891311646,,
3,39,,,,,0.925000011920929,0.311595618724823
3,39,0.8797468543052673,,0.47715556621551514,,,
4,49,,1.0,,0.11185799539089203,,
4,49,,,,,1.0,0.10929457098245621
4,49,0.9746835231781006,,0.1732299029827118,,,
5,59,,1.0,,0.017269542440772057,,
5,59,,,,,0.9750000238418579,0.0778074562549591
5,59,1.0,,0.041700579226017,,,
6,69,,1.0,,0.011926635168492794,,
6,69,,,,,0.9750000238418579,0.061986614018678665
6,69,1.0,,0.016316359862685204,,,
7,79,,1.0,,0.008753566071391106,,
7,79,,,,,0.9750000238418579,0.04043501988053322
7,79,1.0,,0.00957353413105011,,,
8,89,,1.0,,0.006174324546009302,,
8,89,,,,,0.9750000238418579,0.030782664194703102
8,89,1.0,,0.006770444102585316,,,
9,99,,1.0,,0.004816519562155008,,
9,99,,,,,0.9750000238418579,0.02760978974401951
9,99,1.0,,0.00540902279317379,,,
10,109,,1.0,,0.003970320336520672,,
10,109,,,,,0.9750000238418579,0.026005912572145462
10,109,1.0,,0.004568822681903839,,,
11,119,,1.0,,0.003712026635184884,,
11,119,,,,,0.9750000238418579,0.02548135258257389
11,119,1.0,,0.003998633939772844,,,
